AQJ 	OJAQ 	King Hussein International Airport 	Aqaba; Jordan
AQM 		Ariquemes Airport 	Ariquemes; Rondônia; Brazil
AQP 	SPQU 	Rodriguez Ballon International Airport 	Arequipa; Peru
AQS 		Saqani Airport 	Saqani; Fiji
-AR-
ARA 	KARA 	Acadiana Regional Airport 	New Iberia; Louisiana; United States
ARB 	KARB 	Ann Arbor Municipal Airport 	Ann Arbor; Michigan; United States
ARC 	PARC 	Arctic Village Airport 	Arctic Village; Alaska; United States
ARD 	WATM 	Alor Island Airport 	Alor Island; Indonesia
ARE 	TJAB 	Antonio (Nery) Juarbe Pol Airport (FAA: ABO) 	Arecibo; Puerto Rico
ARF 		Acaricuara Airport 	Acaricuara; Colombia
ARG 	KARG 	Walnut Ridge Regional Airport 	Walnut Ridge; Arkansas; United States
ARH 	ULAA 	Talagi Airport 	Arkhangelsk; Russia
ARI 	SCAR 	Chacalluta International Airport 	Arica; Chile
ARJ 	WAJA 	Arso Airport 	Arso; Indonesia
ARK 	HTAR 	Arusha Airport 	Arusha; Tanzania
ARL 	DFER 	Arly Airport 	Arly; Burkina Faso
ARM 	YARM 	Armidale Airport 	Armidale; New South Wales; Australia
ARN 	ESSA 	Stockholm-Arlanda Airport 	Stockholm; Sweden
ARO 		Arboletas Airport 	Arboletas; Colombia
ARP 		Aragip Airport 	Aragip; Papua New Guinea
ARQ 		Arauquita Airport (El Troncal) 	Arauquita; Colombia
ARR 	SAVR 	Alto Río Senguer Airport 	Alto Río Senguer; Chubut; Argentina
ARS 	SWEC 	Aragarças Airport 	Aragarças; Goiás; Brazil
ART 	KART 	Watertown International Airport 	Watertown; New York; United States
ARU 	SBAU 	Araçatuba Airport 	Araçatuba; São Paulo; Brazil
ARV 	KARV 	Lakeland Airport (Noble F. Lee Memorial Field) 	Minocqua/Woodruff; Wisconsin; United States
ARW 	LRAR 	Arad International Airport 	Arad; Romania
ARX 		Asbury Park Neptune Airport (closed 1977) 	Asbury Park; New Jersey; United States
ARY 	YARA 	Ararat Airport 	Ararat; Victoria; Australia
ARZ 	FNZE 	N'zeto Airport 	N'zeto; Angola
-AS-
ASA 	HHSB 	Assab International Airport 	Assab; Eritrea
ASB 	UTAA 	Ashgabat Airport 	Ashgabat; Turkmenistan
ASC 	SLAS 	Ascención de Guarayos Airport 	Ascención de Guarayos; Bolivia
ASD 	MYAF 	Andros Town International Airport 	Andros Island; Bahamas
ASE 	KASE 	Aspen-Pitkin County Airport (Sardy Field) 	Aspen; Colorado; United States
ASF 	URWA 	Narimanovo Airport 	Astrakhan; Russia
ASG 	NZAS 	Ashburton Airport 	Ashburton; New Zealand
ASH 	KASH 	Boire Field 	Nashua; New Hampshire; United States
ASI 	FHAW 	Wideawake Field 	Georgetown; Ascension Island; Saint Helena
ASJ 	RJKA 	Amami O Shima Airport 	Amami Island; Japan
ASK 	DIYO 	Yamoussoukro Airport 	Yamoussoukro; Côte d'Ivoire
ASL 	KASL 	Harrison County Airport 	Marshall; Texas; United States
ASM 	HHAS 	Asmara International Airport 	Asmara; Eritrea
ASN 	KASN 	Talladega Municipal Airport 	Talladega; Alabama; United States
ASO 	HASO 	Asosa Airport 	Asosa; Ethiopia
ASP 	YBAS 	Alice Springs Airport 	Alice Springs; Northern Territory; Australia
ASQ 		Austin Airport (FAA: 9U3) 	Austin; Nevada; United States
ASR 	LTAU 	Erkilet International Airport 	Kayseri Province; Turkey
AST 	KAST 	Astoria Regional Airport 	Astoria; Oregon; United States
ASU 	SGAS 	Silvio Pettirossi International Airport 	Asunción; Paraguay
ASV 	HKAM 	Amboseli Airport 	Amboseli; Kenya
ASW 	HESN 	Aswan International Airport 	Aswan; Egypt
ASX 	KASX 	John F. Kennedy Memorial Airport 	Ashland; Wisconsin; United States
ASY 	KASY 	Ashley Municipal Airport 	Ashley; North Dakota; United States
